PASSENGER LIST,
No average data for Passenger List, so Run 1 selected.,
This data is for all the passengers generated over complete duration of the simulation,
Total number of passengers,,,,,543,
Time last passenger arrived at destination (s),,,,,12:55:50.46550,

Time,Arrival,Destination,Mass,Capacity,Loading,Unloading,Elevator,Time,Time,Waiting,Transit,Actual,Reverse,
Arrived,Floor,Floor,,Factor,Time,Time,Used,Elevator,Reached,Time,Time,Destination,Journey,
,,,,,,,,Arrived,Destination,
(s),,,(kg),(%),(s),(s),(s),(s),(s),(s),(s),
01:04:06.3846,Level 4,Level 1,75.,80.0,1.2,1.2,2,01:05:00.3900,01:05:16.3916,54.3,16.0,Level 1,0,
01:04:07.3847,Level 11,Level 1,75.,80.0,1.2,1.2,2,01:04:29.3869,01:05:16.3916,21.8,47.6,Level 1,0,
01:04:12.3852,Level 1,Level 10,75.,80.0,1.2,1.2,2,01:05:16.3916,01:06:01.3961,64.3,44.7,Level 10,0,
01:04:13.3853,Level 16,Level 1,75.,80.0,1.2,1.2,3,01:04:11.3851,01:05:29.3929,0.0,76.3,Level 1,0,
01:04:16.3856,Level 10,Level 1,75.,80.0,1.2,1.2,2,01:04:42.3882,01:05:16.3916,25.9,34.4,Level 1,0,
01:04:16.3856,Level 10,Level 1,75.,80.0,1.2,1.2,4,01:05:00.3900,01:05:33.3933,44.3,33.1,Level 1,0,
01:04:23.3863,Level 1,Level 12,75.,80.0,1.2,1.2,2,01:05:16.3916,01:06:15.3975,53.3,58.3,Level 12,0,
01:04:27.3867,Level 8,Level 1,75.,80.0,1.2,1.2,3,01:04:33.3873,01:05:29.3929,6.4,55.9,Level 1,0,
01:04:28.3868,Level 1,Level 15,75.,80.0,1.2,1.2,2,01:05:16.3916,01:06:55.4015,48.3,99.1,Level 15,0,
01:04:31.3871,Level 3,Level 7,75.,80.0,1.2,1.2,1,01:04:30.3870,01:05:10.3910,0.0,38.7,Level 7,0,
01:04:35.3875,Level 1,Level 16,75.,80.0,1.2,1.2,4,01:05:33.3933,01:06:30.3990,58.4,56.7,Level 16,0,
01:04:45.3885,Level 1,Level 12,75.,80.0,1.2,1.2,2,01:05:16.3916,01:06:15.3975,31.3,58.3,Level 12,0,
01:04:53.3893,Level 13,Level 16,75.,80.0,1.2,1.2,1,01:06:02.3962,01:06:38.3998,69.0,36.0,Level 16,0,
01:04:56.3896,Level 6,Level 1,75.,80.0,1.2,1.2,4,01:05:16.3916,01:05:33.3933,20.3,17.1,Level 1,0,
01:05:08.3908,Level 16,Level 1,75.,80.0,1.2,1.2,4,01:06:30.3990,01:08:19.4099,82.2,109.1,Level 1,0,
01:05:12.3912,Level 2,Level 1,75.,80.0,1.2,1.2,3,01:05:17.3917,01:05:29.3929,5.3,12.0,Level 1,0,
01:05:13.3913,Level 1,Level 2,75.,80.0,1.2,1.2,4,01:05:33.3933,01:05:51.3951,20.4,18.0,Level 2,0,
01:05:19.3919,Level 1,Level 14,75.,80.0,1.2,1.2,2,01:05:16.3916,01:06:43.4003,0.0,84.4,Level 14,0,
01:05:22.3922,Level 1,Level 16,75.,80.0,1.2,1.2,4,01:05:33.3933,01:06:30.3990,11.4,56.7,Level 16,0,
01:05:24.3924,Level 1,Level 12,75.,80.0,1.2,1.2,3,01:05:29.3929,01:06:16.3976,5.3,46.3,Level 12,0,
01:05:29.3929,Level 1,Level 12,75.,80.0,1.2,1.2,2,01:05:16.3916,01:06:15.3975,0.0,45.6,Level 12,0,
01:05:32.3932,Level 1,Level 15,75.,80.0,1.2,1.2,4,01:05:33.3933,01:06:18.3978,1.4,44.7,Level 15,0,
01:05:35.3935,Level 11,Level 1,75.,80.0,1.2,1.2,3,01:06:29.3989,01:07:52.4072,53.8,83.5,Level 1,0,
01:05:38.3938,Level 13,Level 1,75.,80.0,1.2,1.2,4,01:06:58.4018,01:08:19.4099,80.2,81.2,Level 1,0,
01:05:42.3942,Level 1,Level 10,75.,80.0,1.2,1.2,3,01:05:29.3929,01:06:02.3962,0.0,20.1,Level 10,0,
01:05:46.3946,Level 10,Level 1,75.,80.0,1.2,1.2,3,01:06:42.4002,01:07:52.4072,56.1,70.3,Level 1,0,
01:05:47.3947,Level 15,Level 1,75.,80.0,1.2,1.2,4,01:06:45.4005,01:08:19.4099,57.6,94.7,Level 1,0,
01:05:48.3948,Level 10,Level 1,75.,80.0,1.2,1.2,3,01:06:42.4002,01:07:52.4072,54.1,70.3,Level 1,0,
01:05:53.3953,Level 12,Level 1,75.,80.0,1.2,1.2,3,01:06:16.3976,01:07:52.4072,22.7,96.7,Level 1,0,


